Employee ID,Employee Name,Job Title,Department,Location,Experience (Years),Skills,Certifications,Peer Feedback,Manager Feedback
E0001,Employee 1,AI Engineer,IT,San Francisco,8,"ML lifecycle, Azure, Stakeholder Management",Azure AI Engineer,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0002,Employee 2,Data Analyst,Data,New York,3,"Python, Statistics, Stakeholder Management",Tableau Certified,Excellent at knowledge sharing and team support.,Could improve on documentation and follow-through.
E0003,Employee 3,Data Analyst,HR,Toronto,18,"Excel, SQL, Power BI, Data Visualization",,Consistently exceeds expectations in collaboration.,Could improve on documentation and follow-through.
E0004,Employee 4,Tester,Data,Sydney,6,"Bug Tracking, JIRA, Regression Testing",,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0005,Employee 5,IT Support,Support,New York,3,"Troubleshooting, Networking, Customer Support",CompTIA A+,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0006,Employee 6,Developer,IT,Sydney,2,"Full Stack, React, Node.js",Microsoft Azure Developer,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0007,Employee 7,AI Engineer,IT,Sydney,20,"AI, LLM, NLP, Docker",AWS Machine Learning Specialty,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0008,Employee 8,HR Manager,Data,Toronto,8,"Stakeholder Management, Recruiting, Employee Engagement",,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0009,Employee 9,HR Manager,IT,Berlin,12,"Conflict Resolution, Communication, Onboarding",SHRM Certified,Excellent at knowledge sharing and team support.,A go-to person for tough challenges and innovation.
E0010,Employee 10,Developer,IT,Toronto,3,"Full Stack, React, Node.js",Oracle Java,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0011,Employee 11,Data Analyst,Analytics,Berlin,13,"Excel, SQL, Power BI, Data Visualization",,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0012,Employee 12,HR Manager,Data,San Francisco,2,"Conflict Resolution, Communication, Onboarding",,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0013,Employee 13,IT Support,Support,San Francisco,16,"Troubleshooting, Networking, Customer Support",CompTIA A+,Consistently exceeds expectations in collaboration.,Reliably meets project goals and mentoring responsibilities.
E0014,Employee 14,ML Engineer,HR,Toronto,18,"Python, ML lifecycle, Airflow, Docker, Azure",,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
